item_id,category_name,item_description,item_title,business_line,tf_code
1384742,خرما,±50گرم,چیپس خرما پیمازو 500 گرم,Pastry,2llmwr
1384744,خرما,±50گرم,چیپس خرما ربی 500 گرم,Pastry,2llmwr
1384745,خرما,±50گرم,خرما پیمازو 500 گرم,Pastry,2llmwr
1386765,دسر,"400 گرم، شیر، شکر، آرد برنج، گلاب، با تزئین دارچین",فرنی,Restaurant,5z6n34
1386766,دسر,"400 گرم، نشاسته گل، شکر، وانیل، شیر، تزئین دارچین",فرنی نشاسته گل,Restaurant,5z6n34
1388923,دسر,± 50 گرم,شله زرد زعفرانی پرس یک نفره,Restaurant,2y93z7
1388924,دسر,± 50 گرم,فرنی پرس یک نفره,Restaurant,2y93z7
1390386,حلوا و خرما,"± 50 گرم، حلوا با شهد زعفران، ویفر، مناسب مراسم مذهبی و ترحیم",حلوا ویفری (1.7 کیلوگرم),Pastry,5p6g69
1390387,حلوا و خرما,"± 50 گرم، حلوا با شهد گلاب، خرما، مغز گردو، مناسب مراسم مذهبی و ترحیم",حلوا خرما مخلوط (1.7 کیلوگرم),Pastry,5p6g69
1390388,حلوا و خرما,"± 50 گرم، حلوا با شهد گلاب، خرما، مغز گردو، مناسب مراسم مذهبی و ترحیم",حلوا خرما (1.7 کیلوگرم),Pastry,5p6g69
1390389,حلوا و خرما,"± 50 گرم، خرما با مغز گردو، تزئین شده با پودر نارگیل، پسته، مناسب مراسم مذهبی و ترحیم",خرما گردو (1.7 کیلوگرم),Pastry,5p6g69
1390537,شیرینی سنتی,"± 50 گرم، آب، آرد، روغن، تخم مرغ، ماست، گلاب و زعفران",گوشفیل یک کیلوگرم,Pastry,5p6g69
1390538,شیرینی سنتی,"± 50 گرم، مخلوط انواع بامیه، زوابیا، گوشفیل",مخلوط زولبیا و بامیه و گوشفیل دو کیلوگرم,Pastry,5p6g69
1390541,شیرینی سنتی,"± 50 گرم، ترکیب آب و نشاسته و شکر و زعفران",زولبیا یک کیلوگرم,Pastry,5p6g69
1390543,شیرینی سنتی,"± 50 گرم، شهد گلاب، زعفرانی، مناسب مراسم مذهبی و پذیرایی همراه چای",زولبیا بامیه یک کیلوگرم,Pastry,5p6g69
1390745,شیرینی ترحیم,,خرما (600 گرم),Pastry,5nl81y
1393087,خشکبار,,خرما پیارم 500 گرم,Pastry,5o94mm
1393098,شیرینی خشک,± 50 گرم,زولبیا و بامیه یک کیلوگرم,Pastry,2m3p61
1398988,خشکبار,± 50 گرم,خرما زاهدی ۷۵۰ گرم,Pastry,2rp1mw
1398989,خشکبار,± 50 گرم,خرما پیام اعلا ۵۰۰ گرم,Pastry,2rp1mw
1398990,حلوا و خرما,مناسب مراسم مذهبی و پذیرایی همراه چای,حلوا ویفری (1.8 تا 2 کیلوگرم),Pastry,2rp1mw
1398992,حلوا و خرما,"75 تا 80 عدد، خرما مخصوص با مغز گردو و پودر نارگیل مناسب مراسم مذهبی و پذیرایی همراه چای",خرما مخصوص (1.4 تا 1.5 کیلوگرم),Pastry,2rp1mw
1398993,حلوا و خرما,"75 تا 80 عدد، حلوا با چیدمان قیفی، مناسب مراسم مذهبی و پذیرایی همراه چای",حلوا قیفی (1.7 تا 2 کیلوگرم),Pastry,2rp1mw
